IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
5.10.247.140,443,true,LAX,North America,Los Angeles,168,3.84
5.10.245.32,443,true,LAX,North America,Los Angeles,202,3.84
5.10.245.101,443,true,LAX,North America,Los Angeles,172,3.83
31.12.75.144,443,true,LAX,North America,Los Angeles,181,3.83
5.10.245.117,443,true,LAX,North America,Los Angeles,185,3.83
5.10.246.52,443,true,LAX,North America,Los Angeles,175,3.83
5.10.244.104,443,true,LAX,North America,Los Angeles,166,3.83
5.10.244.26,443,true,LAX,North America,Los Angeles,181,3.82
45.131.208.253,443,true,LAX,North America,Los Angeles,169,3.82
5.10.244.171,443,true,LAX,North America,Los Angeles,185,3.82
108.162.194.8,443,true,LAX,North America,Los Angeles,174,3.81
5.10.244.66,443,true,LAX,North America,Los Angeles,189,3.81
5.10.245.63,443,true,LAX,North America,Los Angeles,224,3.81
5.10.245.113,443,true,LAX,North America,Los Angeles,178,3.81
130.250.137.42,443,true,LAX,North America,Los Angeles,254,3.81
45.131.211.115,443,true,LAX,North America,Los Angeles,177,3.80
130.250.137.93,443,true,LAX,North America,Los Angeles,214,3.80
5.10.244.16,443,true,LAX,North America,Los Angeles,175,3.80
135.84.64.35,443,true,LAX,North America,Los Angeles,256,3.80
108.162.194.44,443,true,LAX,North America,Los Angeles,180,3.80
5.10.245.182,443,true,LAX,North America,Los Angeles,191,3.79
5.10.244.116,443,true,LAX,North America,Los Angeles,181,3.78
5.10.246.125,443,true,LAX,North America,Los Angeles,170,3.78
5.10.245.66,443,true,LAX,North America,Los Angeles,180,3.78
45.202.113.151,443,true,LAX,North America,Los Angeles,1288,3.78
108.162.194.76,443,true,LAX,North America,Los Angeles,186,3.78
5.10.245.100,443,true,LAX,North America,Los Angeles,218,3.78
45.131.209.231,443,true,LAX,North America,Los Angeles,1297,3.77
5.10.244.51,443,true,LAX,North America,Los Angeles,184,3.77
5.10.245.130,443,true,LAX,North America,Los Angeles,189,3.76
5.10.245.57,443,true,LAX,North America,Los Angeles,171,3.76
5.10.244.41,443,true,LAX,North America,Los Angeles,212,3.76
5.10.245.245,443,true,LAX,North America,Los Angeles,183,3.76
5.10.245.20,443,true,LAX,North America,Los Angeles,191,3.75
5.10.247.39,443,true,LAX,North America,Los Angeles,173,3.75
108.162.194.75,443,true,LAX,North America,Los Angeles,172,3.75
5.10.244.90,443,true,LAX,North America,Los Angeles,185,3.75
5.10.244.54,443,true,LAX,North America,Los Angeles,186,3.75
5.10.244.175,443,true,LAX,North America,Los Angeles,164,3.75
5.10.245.106,443,true,LAX,North America,Los Angeles,177,3.75
5.10.245.80,443,true,LAX,North America,Los Angeles,180,3.75
5.10.244.194,443,true,LAX,North America,Los Angeles,179,3.74
5.10.246.86,443,true,LAX,North America,Los Angeles,188,3.74
5.10.244.140,443,true,LAX,North America,Los Angeles,187,3.74
108.162.194.121,443,true,LAX,North America,Los Angeles,1177,3.74
5.10.246.18,443,true,LAX,North America,Los Angeles,187,3.74
5.10.244.236,443,true,LAX,North America,Los Angeles,180,3.73
45.202.113.109,443,true,LAX,North America,Los Angeles,188,3.73
5.10.244.42,443,true,LAX,North America,Los Angeles,183,3.72
130.250.137.38,443,true,LAX,North America,Los Angeles,202,3.72
5.10.245.90,443,true,LAX,North America,Los Angeles,227,3.72
5.10.245.207,443,true,LAX,North America,Los Angeles,185,3.72
5.10.244.77,443,true,LAX,North America,Los Angeles,186,3.72
5.10.247.208,443,true,LAX,North America,Los Angeles,173,3.72
130.250.137.70,443,true,LAX,North America,Los Angeles,185,3.72
5.10.246.161,443,true,LAX,North America,Los Angeles,189,3.72
5.10.246.13,443,true,LAX,North America,Los Angeles,219,3.72
5.10.244.9,443,true,LAX,North America,Los Angeles,174,3.72
108.162.194.224,443,true,LAX,North America,Los Angeles,185,3.72
31.12.75.126,443,true,LAX,North America,Los Angeles,203,3.71
45.131.208.187,443,true,LAX,North America,Los Angeles,177,3.71
5.10.245.103,443,true,LAX,North America,Los Angeles,176,3.71
5.10.245.10,443,true,LAX,North America,Los Angeles,207,3.71
135.84.64.69,443,true,LAX,North America,Los Angeles,168,3.71
108.162.194.49,443,true,LAX,North America,Los Angeles,172,3.71
5.10.245.71,443,true,LAX,North America,Los Angeles,183,3.70
5.10.244.69,443,true,LAX,North America,Los Angeles,180,3.70
45.131.211.170,443,true,LAX,North America,Los Angeles,180,3.70
5.10.246.94,443,true,LAX,North America,Los Angeles,175,3.70
45.131.210.19,443,true,LAX,North America,Los Angeles,174,3.69
45.131.208.7,443,true,LAX,North America,Los Angeles,169,3.69
5.10.247.132,443,true,LAX,North America,Los Angeles,184,3.69
